,Total no.,Doc no.,Dept.,Theme No.,Theme title,Authors,Author full names,Author(s) ID,Title,Year,SDG,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
,11,11,Mechanical Engineering,ME3.3,"Mechanical System Design, Structural Analysis & Applied Mechanics",Rishmany J.; Imad R.,"Rishmany, Jihad (56426992700); Imad, Rodrigue (26767816900)",56426992700; 26767816900,Finite Element and Multibody Dynamics Analysis of a Ball Mill Glass Crusher,2023,12,Modelling and Simulation in Engineering,2023,,1905702,,,,3,10.1155/2023/1905702,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151539432&doi=10.1155%2f2023%2f1905702&partnerID=40&md5=ba2396dd2b97f3f4b318a63d1c5e020c,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85151539432
,12,12,Mechanical Engineering,ME1.3,"Sustainable Fuels, Bioenergy, and Energy Storage Systems",Haidar A.A.; Rishmany J.,"Haidar, Ayla Abou (57324801300); Rishmany, Jihad (56426992700)",57324801300; 56426992700,Investigation of bulk density and friction coefficient of olive residues and sawdust prior to pelletizing,2023,,Biomass Conversion and Biorefinery,13,12,,10513,10525,12,0,10.1007/s13399-021-02063-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118550320&doi=10.1007%2fs13399-021-02063-y&partnerID=40&md5=9b0d1a2215243497c553074c80b09090,Article,Final,,Scopus,2-s2.0-85118550320
,13,13,Mechanical Engineering,ME2.3,Phase Change Materials & Building Energy Systems,Lahoud C.; Chahwan A.; Rishmany J.; Yehia C.; Daaboul M.,"Lahoud, Chawki (6507883511); Chahwan, Antoine (59487298400); Rishmany, Jihad (56426992700); Yehia, Chafic (59487260500); Daaboul, Michel (25640685600)",6507883511; 59487298400; 56426992700; 59487260500; 25640685600,Enhancing Energy Efficiency in Mediterranean Coastal Buildings Through PCM Integration,2024,,Buildings,14,12,4023,,,,9,10.3390/buildings14124023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213082427&doi=10.3390%2fbuildings14124023&partnerID=40&md5=8cb0ea11a727b48b2b865e01eac2284e,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85213082427
,14,14,Mechanical Engineering,ME1.1,"Wind, Solar PV, and Wave Energy Conversion",Khoury G.; Alomar Z.; Sabat M.; Rishmany J.; Daaboul M.,"Khoury, Gerard (58408244900); Alomar, Zaki (57218710427); Sabat, Macole (56432431200); Rishmany, Jihad (56426992700); Daaboul, Michel (25640685600)",58408244900; 57218710427; 56432431200; 56426992700; 25640685600,IMPROVING THE EFFICIENCY OF SAVONIUS WIND TURBINE THROUGH SHIELDING: NUMERICAL AND EXPERIMENTAL STUDY,2025,7,International Journal of Power and Energy Systems,45,10,,,,,3,10.2316/J.2025.203-0554,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012220882&doi=10.2316%2fJ.2025.203-0554&partnerID=40&md5=8593c77a52a0d06a5515cea6b4b41981,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-105012220882
,15,15,Mechanical Engineering,ME3.3,"Mechanical System Design, Structural Analysis & Applied Mechanics",Prasil L.; Andraos R.; Rishmany J.; Latelise B.; Dos Remedios C.; Severyns M.; Zot F.; Germaneau A.; Vendeuvre T.,"Prasil, Laure (58995007400); Andraos, Raghid (59763727500); Rishmany, Jihad (56426992700); Latelise, Benoit (58514692500); Dos Remedios, Carlos (59763727600); Severyns, Mathieu (57188965007); Zot, Francois (58748997000); Germaneau, Arnaud (17343373700); Vendeuvre, Tanguy (54953387900)",58995007400; 59763727500; 56426992700; 58514692500; 59763727600; 57188965007; 58748997000; 17343373700; 54953387900,Osteosynthesis of an extra-articular distal radius fracture using a palmar locking plate with 4 epiphyseal screws (Gold Standard) versus 2 epiphyseal screws: Finite element analysis,2025,,Injury,56,7,112360,,,,0,10.1016/j.injury.2025.112360,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004050204&doi=10.1016%2fj.injury.2025.112360&partnerID=40&md5=07f14fcc9b7a50ac4b8c4fec273b4885,Article,Final,,Scopus,2-s2.0-105004050204
,16,16,Mechanical Engineering,ME4.2,"Smart Mechanical Design, Mechatronics & Emerging Applications",Nasr R.; Shreif M.; Jaoude E.A.; Ahmar C.; Rishmany J.,"Nasr, Rayn (60597271600); Shreif, Majd (60597544500); Jaoude, Enrico Abou (60597453300); Ahmar, Celine (60597453400); Rishmany, Jihad (56426992700)",60597271600; 60597544500; 60597453300; 60597453400; 56426992700,Design optimization and comparative evaluation of oval and toroidal propeller geometries versus a conventional propeller,2026,,Sound and Vibration,60,2,3889,,,,0,10.59400/sv3889,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105036717896&doi=10.59400%2fsv3889&partnerID=40&md5=61c5278623685f1a18b0235a43c0fe8e,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105036717896
,17,17,Mechanical Engineering,ME1.1,"Wind, Solar PV, and Wave Energy Conversion",Rishmany J.; Lahoud C.; Harmouche J.; Imad R.; Saba N.,"Rishmany, Jihad (56426992700); Lahoud, Chawki (6507883511); Harmouche, Jamal (59907527700); Imad, Rodrigue (26767816900); Saba, Nicolas (36706524000)",56426992700; 6507883511; 59907527700; 26767816900; 36706524000,Advancements in Solar Tracking: A Comprehensive Review of Image-Processing Techniques,2026,7,Sustainability (Switzerland),18,2,1117,,,,1,10.3390/su18021117,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028917157&doi=10.3390%2fsu18021117&partnerID=40&md5=9a401465239ec48106c00c1db91828d0,Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105028917157
,18,18,Mechanical Engineering,ME1.1,"Wind, Solar PV, and Wave Energy Conversion",Rahal R.; Matta M.; Rishmany J.,"Rahal, Rayan (60433566300); Matta, Mark (60433346900); Rishmany, Jihad (56426992700)",60433566300; 60433346900; 56426992700,A Finite Element Study on the Structural Behavior of a Dual-Axis Solar Tracking System,2026,7,Kurdistan Journal of Applied Research,11,1,,51,65,14,0,10.24017/science.2026.1.4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031649203&doi=10.24017%2fscience.2026.1.4&partnerID=40&md5=3ee2f79e44b223678e12c8d430359749,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105031649203
N. Saba,19,1,Mechanical Engineering,ME3.2,"Thermo-Mechanical Processes, Functionally Graded Materials & Tailoring Techniques",Maikranz-Valentin M.; Saba N.; Weidig U.; Göken J.; Steinhoff K.,"Maikranz-Valentin, M. (24168779500); Saba, N. (36706524000); Weidig, U. (6507227881); Göken, J. (13105218400); Steinhoff, K. (13104873800)",24168779500; 36706524000; 6507227881; 13105218400; 13104873800,Investigation on functionally graded 51CrV4 and its damping behaviour,2008,,"9th International Conference on Technology of Plasticity, ICTP 2008",,,,2283,2288,5,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898079291&partnerID=40&md5=085f05505503e46f12390899912f8f77,Conference paper,Final,,Scopus,2-s2.0-84898079291
,20,2,Mechanical Engineering,ME3.2,"Thermo-Mechanical Processes, Functionally Graded Materials & Tailoring Techniques",Wagner T.; Bröcker C.; Saba N.; Biermann D.; Matzenmiller A.; Steinhoff K.,"Wagner, Tobias (55650754200); Bröcker, Christoph (12646093700); Saba, Nicolas (36706524000); Biermann, Dirk (56580453200); Matzenmiller, Anton (6603010008); Steinhoff, Kurt (13104873800)",55650754200; 12646093700; 36706524000; 56580453200; 6603010008; 13104873800,Modelling of a thermomechanically coupled forming process based on functional outputs from a finite element analysis and from experimental measurements,2010,,AStA Advances in Statistical Analysis,94,4,,389,404,15,8,10.1007/s10182-010-0149-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650720281&doi=10.1007%2fs10182-010-0149-7&partnerID=40&md5=a0fdc278e117326398a058cee4182bf3,Article,Final,,Scopus,2-s2.0-78650720281
,21,3,Mechanical Engineering,ME3.2 and ME4.2 ,"Thermo-Mechanical Processes, Functionally Graded Materials & Tailoring Techniques and Smart Mechanical Design, Mechatronics & Emerging Applications",Quint K.J.; Hartmann S.; Rothe S.; Saba N.; Steinhoff K.,"Quint, Karsten J. (24280109600); Hartmann, Stefan (35867188300); Rothe, Steffen (55452740200); Saba, Nicolas (36706524000); Steinhoff, Kurt (13104873800)",24280109600; 35867188300; 55452740200; 36706524000; 13104873800,Experimental validation of high-order time integration for non-linear heat transfer problems,2011,,Computational Mechanics,48,1,,81,96,15,29,10.1007/s00466-011-0572-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959333952&doi=10.1007%2fs00466-011-0572-y&partnerID=40&md5=b86505a50dea4c950e1d86242a896e7a,Article,Final,,Scopus,2-s2.0-79959333952
,22,4,Mechanical Engineering,ME3.2,"Thermo-Mechanical Processes, Functionally Graded Materials & Tailoring Techniques",Saba N.; Fuß D.; Weidig U.; Steinhoff K.,"Saba, N. (36706524000); Fuß, D. (26641670000); Weidig, U. (6507227881); Steinhoff, K. (13104873800)",36706524000; 26641670000; 6507227881; 13104873800,Functional gradation produced by differential thermo-mechanical processing,2011,,"Special Edition: 10th International Conference on Technology of Plasticity, ICTP 2011",,,,944,949,5,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898072588&partnerID=40&md5=b9e854693910b3ce17245683d83a311f,Conference paper,Final,,Scopus,2-s2.0-84898072588
,23,5,Mechanical Engineering,ME1.2,"Hybrid Energy Systems, Energy Planning, and Resource Nexus",Rishmany J.; Daaboul M.; Tawk I.; Saba N.,"Rishmany, Jihad (56426992700); Daaboul, Michel (25640685600); Tawk, Issam (16311049700); Saba, Nicolas (36706524000)",56426992700; 25640685600; 16311049700; 36706524000,Investigation on solar-powered turbines using refrigerant R-134A,2014,7,"American Society of Mechanical Engineers, Power Division (Publication) POWER",2,,,,,,0,10.1115/POWER2014-32088,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911974861&doi=10.1115%2fPOWER2014-32088&partnerID=40&md5=07c427020a7e177b5e46c3a3d96cccd1,Conference paper,Final,,Scopus,2-s2.0-84911974861
,24,6,Mechanical Engineering,ME3.1,Composite Materials & Fracture Mechanics,Tawk I.; Rishmany J.; Saba N.; Mahmoud B.,"Tawk, Issam (16311049700); Rishmany, Jihad (56426992700); Saba, Nicolas (36706524000); Mahmoud, Bassam (57194072065)",16311049700; 56426992700; 36706524000; 57194072065,Experimental study of the interlaminar fracture of composite materials in mode III,2016,,ECCM 2016 - Proceeding of the 17th European Conference on Composite Materials,,,,,,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018582832&partnerID=40&md5=5106f0f4bc51ad746d3b75ecf6a192fa,Conference paper,Final,,Scopus,2-s2.0-85018582832
,25,7,Mechanical Engineering,ME4.1,"Vibro-Acoustics, Damping Behavior & Noise Control",Göken J.; Saba N.,"Göken, J. (55886065800); Saba, N. (36706524000)",55886065800; 36706524000,Damping behaviour analysis of 3d printed samples with pores,2020,,Acta Physica Polonica A,138,6,,844,853,9,5,10.12693/APhysPolA.138.844,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099191629&doi=10.12693%2fAPhysPolA.138.844&partnerID=40&md5=996bd4f0c74c8596a23b1fd4dc7ba9b0,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85099191629
,26,8,Mechanical Engineering,ME3.1,Composite Materials & Fracture Mechanics,Tawk I.; Rishmany J.; Saba J.; Navarro P.; Ferrero J.-F.,"Tawk, I. (16311049700); Rishmany, J. (56426992700); Saba, J. (36706524000); Navarro, P. (35320474200); Ferrero, J.-F. (7101803358)",16311049700; 56426992700; 36706524000; 35320474200; 7101803358,Experimental study of the interlaminar fracture of composite materials in mode III by MSCB test,2020,,Composite Structures,233,,111548,,,,7,10.1016/j.compstruct.2019.111548,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075450651&doi=10.1016%2fj.compstruct.2019.111548&partnerID=40&md5=9e6f16fb9e3cd630e88400412e5b55d7,Article,Final,,Scopus,2-s2.0-85075450651
,27,9,Mechanical Engineering,ME4.1,"Vibro-Acoustics, Damping Behavior & Noise Control",Göken J.; Saba N.; Anžel I.,"Göken, J. (55886065800); Saba, N. (36706524000); Anžel, I. (55924064600)",55886065800; 36706524000; 55924064600,"Analysis of acoustic radiation of rectangular wooden panels made of spruce, maple and cherry wood",2022,12,Journal of Alloys and Compounds,919,,165879,,,,2,10.1016/j.jallcom.2022.165879,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132217234&doi=10.1016%2fj.jallcom.2022.165879&partnerID=40&md5=308378ff176be4e26a2b4184f9578adc,Article,Final,,Scopus,2-s2.0-85132217234
,28,10,Mechanical Engineering,ME4.1,"Vibro-Acoustics, Damping Behavior & Noise Control",Göken J.; Saba N.; Steinhoff K.,"Göken, J. (55886065800); Saba, N. (36706524000); Steinhoff, K. (13104873800)",55886065800; 36706524000; 13104873800,Measurements of Acoustic Radiation of Tonewood Spruce at Different Clamping Loads,2022,,Acta Physica Polonica A,141,1,,54,63,9,1,10.12693/APHYSPOLA.141.54,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125738523&doi=10.12693%2fAPHYSPOLA.141.54&partnerID=40&md5=f7a1611f822027ba36d3aa1a7ac0e08b,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85125738523
